seeds: 979422950 82612659 1548999055 34724616 2661379358 119603160 1062035609 324592756 534569941 444853009 1399214282 16464628 4257470921 37496375 3563582126 189805172 1885936801 142858899 1727947736 157989065

seed-to-soil map:
410611050 1616870885 15988432
973513421 937795196 2825663
4148139826 4205973610 37098354
1022538179 40598424 61234545
426599482 1244234970 40035747
3497248038 3372330067 69846137
1887723925 940620859 188277726
280648845 342668958 80855210
1543097108 536766246 107764845
846860354 1128898585 115336385
2280639675 2666456969 97361801
3059111446 3964867105 241106505
3442370112 3959419667 5447438
3300217951 3481430532 142152161
3447817550 3123746606 19018615
466635229 444701670 92064576
3567094175 3142765221 97124468
1749530345 1776309862 117016078
3716113975 3623582693 335836974
1650861953 763264748 58069968
3664218643 4243071964 51895332
1083772724 2024901850 151855836
4051950949 3442176204 39254328
1235628560 1284270717 307468548
361504055 101832969 23975375
711884561 326426822 16242136
2378001476 2602421092 64035877
2222121007 2403698781 58518668
0 821334716 80030367
2711294354 2763818770 36171702
80030367 125808344 200618478
1866546423 423524168 21177502
976339084 1632859317 9768982
385479430 1591739265 25131620
2076001651 1904642622 100756035
962196739 1893325940 11316682

temperature-to-humidity map:
2145698190 1896237905 57753853
3818022825 4138701749 51669758
4075656233 2868685273 51062802
3779278652 158909252 38744173
4126719035 2315944979 84852576
1907059299 1602314184 238638891
3704602292 530766277 74676360
581309619 2633663092 13671506
1203623697 3671059366 96558714
3008496734 2603633255 30029837
1172859966 1000381591 30763731
3256270638 1953991758 142810357
2203452043 2400797555 15878535
597461114 3118167497 349071047
2679168377 1894022455 2215450
1485565344 3005202155 112965342
3442281935 197653425 1872665
2219330578 2919748075 20127693
1897064780 906991387 9994519
1395767511 3467238544 89797833
3490803549 3768034551 32073212
3038526571 2939875768 65326387
3869692583 605442637 205963650
2462680655 3922214027 216487722
2900526691 1199013374 107970043
1300182411 811406287 95585100
1749396364 3604566669 66492697
1816305532 378563406 80759248
3399080995 2825484333 43200940
293551358 3557036377 47530292
1598530686 1306983417 150865678
3452151331 492114059 38652218
594981125 459322654 2479989
3134164374 3800107763 122106264
2239458271 2647334598 170153004
2409611275 1840953075 53069380
3667341850 1161752932 37260442
993822650 199526090 179037316
4211571611 916985906 83395685
216214552 1084416126 77336806
341081650 1031145322 53270804
3522876761 1457849095 144465089
946532161 4247676807 47290489
394352454 2416676090 186957165
3444154600 2817487602 7996731
158909252 4190371507 57305300
2681383827 2096802115 219142864
3103852958 461802643 30311416
0 0 158909252
1815889061 3767618080 416471

humidity-to-location map:
641610717 532180480 167913
3607132231 2589237074 87690008
2780081538 1499534633 214941352
983276467 2242508967 294440715
1463968229 3657653042 23795285
934171856 4245862685 49104611
2082425265 2888857987 33973530
3393469410 854738921 213662821
4279821923 3681448327 15145373
4153944584 3467637102 125877339
1487763514 1068401742 196909956
854738921 3327082163 79432935
1424746391 3406515098 39221838
2139496161 1374748224 124786409
189747826 256603624 186951308
3792458785 3200156256 8811629
2354601449 1714475985 223204190
2038681246 3613909023 43744019
2006897121 3879057710 31784125
2577805639 2536949682 52287392
3829453782 3070591503 129564753
2630093031 3223110757 77626777
3801270414 3445736936 21900166
2731762526 2922831517 48319012
2264282570 3593514441 14111380
3823170580 3607625821 6283202
169223275 78323757 20524551
0 0 78323757
552985169 443554932 88625548
1277717182 4098833476 147029209
2278393950 1937680175 76207499
4040360738 3208967885 14142872
4054503610 2971150529 99440974
3014725836 2758269285 110885756
3125611592 1265311698 85393808
1684673470 3323834900 3247263
78323757 703738344 90899518
542113746 794637862 10871423
384358430 98848308 157755316
1687920733 4008478381 90355095
376699134 532348393 7659296
2116398795 3300737534 23097366
641778630 540007689 163730655
2707719808 1350705506 24042718
3959018535 2676927082 81342203
2995022890 2869155041 19702946
3694822239 3910841835 97636546
3211005400 3696593700 182464010
1778275828 2013887674 228621293
